Time(s),CH1V,CH2V,CH3V,CH4V
-9.950000e-08,-6.600000e-03,1.440000e-02,-7.428000e-01,3.933333e-04
-9.900000e-08,-9.400000e-03,1.440000e-02,-7.443733e-01,1.113333e-03
-9.850000e-08,-1.020000e-02,1.706667e-02,-7.483467e-01,1.513333e-03
-9.800000e-08,-3.266667e-03,2.220000e-02,-7.511200e-01,1.413333e-03
-9.750000e-08,6.266667e-03,2.120000e-02,-7.494400e-01,1.113333e-03
-9.700000e-08,6.000000e-03,1.386667e-02,-7.439733e-01,8.666667e-04
-9.650000e-08,-2.600000e-03,9.266667e-03,-7.402133e-01,7.666667e-04
-9.600000e-08,-5.800000e-03,1.300000e-02,-7.435467e-01,7.066667e-04
-9.550000e-08,-5.333333e-04,2.220000e-02,-7.509333e-01,6.933333e-04
-9.500000e-08,3.666667e-03,3.106667e-02,-7.540000e-01,9.533333e-04
-9.450000e-08,4.333334e-03,3.540000e-02,-7.518134e-01,1.660000e-03
-9.400000e-08,8.333334e-03,3.500000e-02,-7.514133e-01,2.133333e-03
-9.350000e-08,1.613333e-02,3.260000e-02,-7.534667e-01,1.460000e-03
-9.300000e-08,1.973333e-02,2.846667e-02,-7.518666e-01,1.066667e-04
-9.250000e-08,1.680000e-02,2.120000e-02,-7.469600e-01,-4.266667e-04
-9.200000e-08,1.266667e-02,1.620000e-02,-7.456267e-01,3.333333e-04
-9.150000e-08,1.206667e-02,2.106667e-02,-7.486400e-01,1.446667e-03
-9.100000e-08,1.513333e-02,3.333334e-02,-7.496800e-01,2.020000e-03
-9.050000e-08,1.886667e-02,4.120000e-02,-7.481600e-01,2.006667e-03
-9.000000e-08,2.040000e-02,3.900000e-02,-7.496000e-01,1.746667e-03
-8.950000e-08,2.013333e-02,3.053333e-02,-7.537600e-01,1.486667e-03
-8.900000e-08,1.986667e-02,2.273333e-02,-7.544000e-01,1.126667e-03
-8.850000e-08,1.820000e-02,1.966667e-02,-7.516267e-01,4.066667e-04
-8.800000e-08,1.153333e-02,1.953333e-02,-7.517333e-01,-2.266667e-04
-8.750000e-08,2.800000e-03,1.913333e-02,-7.549067e-01,2.000000e-05
-8.700000e-08,-6.666667e-04,1.966667e-02,-7.552533e-01,9.266667e-04
-8.650000e-08,4.333334e-03,2.493333e-02,-7.530133e-01,1.386667e-03
-8.600000e-08,1.346667e-02,3.180000e-02,-7.540534e-01,1.113333e-03
