Time(s),CH1V
-5.000000e-10,-9.006667e-03
1.944908e-21,-1.642000e-02
5.000000e-10,-3.069333e-02
1.000000e-09,-4.452000e-02
1.500000e-09,-6.255333e-02
2.000000e-09,-7.914667e-02
2.500000e-09,-9.717333e-02
3.000000e-09,-1.112267e-01
3.500000e-09,-1.227333e-01
4.000000e-09,-1.297000e-01
4.500000e-09,-1.325733e-01
5.000000e-09,-1.320267e-01
5.500000e-09,-1.278200e-01
6.000000e-09,-1.233933e-01
6.500000e-09,-1.177533e-01
7.000000e-09,-1.095667e-01
7.500000e-09,-1.029267e-01
8.000000e-09,-9.795333e-02
8.500000e-09,-9.098000e-02
9.000000e-09,-8.180000e-02
9.500000e-09,-7.284000e-02
1.000000e-08,-6.520667e-02
1.050000e-08,-5.878667e-02
1.100000e-08,-5.082667e-02
1.150000e-08,-4.673333e-02
1.200000e-08,-4.297333e-02
1.250000e-08,-4.131333e-02
1.300000e-08,-3.920667e-02
1.350000e-08,-3.633333e-02
1.400000e-08,-3.754667e-02
1.450000e-08,-3.732667e-02
1.500000e-08,-3.688667e-02
1.550000e-08,-3.522667e-02
1.600000e-08,-3.400667e-02
1.650000e-08,-3.046667e-02
1.700000e-08,-2.814667e-02
1.750000e-08,-2.560000e-02
1.800000e-08,-2.350000e-02
1.850000e-08,-2.217333e-02
1.900000e-08,-2.029333e-02
1.950000e-08,-1.852000e-02
2.000000e-08,-1.520667e-02
2.050000e-08,-1.332000e-02
2.100000e-08,-1.088667e-02
2.150000e-08,-9.226667e-03
2.200000e-08,-8.126667e-03
2.250000e-08,-1.011333e-02
2.300000e-08,-1.033333e-02
2.350000e-08,-1.232667e-02
2.400000e-08,-1.442667e-02
2.450000e-08,-1.520667e-02
2.500000e-08,-1.608667e-02
2.550000e-08,-1.774667e-02
2.600000e-08,-1.907333e-02
2.650000e-08,-1.863333e-02
2.700000e-08,-1.752667e-02
2.750000e-08,-1.586667e-02
2.800000e-08,-1.343333e-02
2.850000e-08,-1.288000e-02
2.900000e-08,-1.044667e-02
2.950000e-08,-7.573333e-03
3.000000e-08,-7.680000e-03
3.050000e-08,-6.686667e-03
3.100000e-08,-5.466667e-03
3.150000e-08,-4.913333e-03
3.200000e-08,-4.360000e-03
3.250000e-08,-5.800000e-03
3.300000e-08,-6.793333e-03
3.350000e-08,-7.126667e-03
3.400000e-08,-7.240000e-03
3.450000e-08,-7.900000e-03
3.500000e-08,-6.906667e-03
3.550000e-08,-5.800000e-03
3.600000e-08,-4.806667e-03
3.650000e-08,-4.693334e-03
3.700000e-08,-4.913333e-03
3.750000e-08,-3.033333e-03
3.800000e-08,-2.040000e-03
3.850000e-08,-2.373333e-03
3.900000e-08,-8.200000e-04
3.950000e-08,1.280000e-03
4.000000e-08,7.266667e-04
4.050000e-08,2.866667e-04
4.100000e-08,1.500000e-03
4.150000e-08,8.400000e-04
4.200000e-08,8.400000e-04
4.250000e-08,6.133333e-04
4.300000e-08,7.266667e-04
4.350000e-08,1.733333e-04
4.400000e-08,-7.133333e-04
4.450000e-08,-1.926667e-03
4.500000e-08,-1.373333e-03
4.550000e-08,-9.333334e-04
4.600000e-08,-1.373333e-03
4.650000e-08,-1.373333e-03
4.700000e-08,-1.593333e-03
4.750000e-08,-1.153333e-03
4.800000e-08,-4.666667e-05
4.850000e-08,-7.133333e-04
4.900000e-08,-9.333334e-04
4.950000e-08,5.066667e-04
5.000000e-08,-2.666667e-04
5.050000e-08,-1.593333e-03
5.100000e-08,-4.933333e-04
5.150000e-08,-8.200000e-04
5.200000e-08,2.866667e-04
5.250000e-08,-9.333334e-04
5.300000e-08,-1.373333e-03
5.350000e-08,-4.933333e-04
5.400000e-08,-1.373333e-03
5.450000e-08,-1.706667e-03
5.500000e-08,-1.266667e-03
5.550000e-08,-1.706667e-03
5.600000e-08,-1.486667e-03
5.650000e-08,-2.260000e-03
5.700000e-08,-4.933333e-04
5.750000e-08,-4.666667e-05
5.800000e-08,-4.933333e-04
5.850000e-08,-1.600000e-04
5.900000e-08,5.066667e-04
5.950000e-08,1.166667e-03
6.000000e-08,2.166667e-03
6.050000e-08,8.400000e-04
6.100000e-08,1.393333e-03
6.150000e-08,1.946667e-03
6.200000e-08,2.866667e-04
6.250000e-08,-4.933333e-04
6.300000e-08,-4.933333e-04
6.350000e-08,-8.200000e-04
6.400000e-08,-6.000000e-04
6.450000e-08,-1.266667e-03
6.500000e-08,-1.046667e-03
6.550000e-08,6.000000e-05
6.600000e-08,-7.133333e-04
6.650000e-08,-8.200000e-04
6.700000e-08,2.866667e-04
6.750000e-08,6.000000e-05
6.800000e-08,1.833333e-03
6.850000e-08,5.066667e-04
6.900000e-08,6.133333e-04
6.950000e-08,2.493333e-03
7.000000e-08,8.400000e-04
7.050000e-08,1.280000e-03
7.100000e-08,8.400000e-04
7.150000e-08,-1.600000e-04
7.200000e-08,1.060000e-03
7.250000e-08,-3.800000e-04
7.300000e-08,-6.000000e-04
7.350000e-08,-3.800000e-04
7.400000e-08,-1.046667e-03
7.450000e-08,-2.146667e-03
7.500000e-08,-1.373333e-03
7.550000e-08,-1.593333e-03
7.600000e-08,-1.600000e-04
7.650000e-08,-8.200000e-04
7.700000e-08,6.000000e-05
7.750000e-08,6.133333e-04
7.800000e-08,7.266667e-04
7.850000e-08,7.266667e-04
7.900000e-08,2.866667e-04
7.950000e-08,1.280000e-03
8.000000e-08,3.933333e-04
8.050000e-08,2.866667e-04
8.100000e-08,1.280000e-03
8.150000e-08,5.066667e-04
8.200000e-08,-2.666667e-04
8.250000e-08,-1.046667e-03
8.300000e-08,-1.600000e-04
8.350000e-08,-1.153333e-03
8.400000e-08,-3.800000e-04
8.450000e-08,-1.266667e-03
8.500000e-08,5.066667e-04
8.550000e-08,9.466666e-04
8.600000e-08,1.733333e-04
8.650000e-08,1.060000e-03
8.700000e-08,6.133333e-04
8.750000e-08,5.066667e-04
8.800000e-08,8.400000e-04
8.850000e-08,1.733333e-04
8.900000e-08,3.933333e-04
8.950000e-08,7.266667e-04
9.000000e-08,3.933333e-04
9.050000e-08,-2.666667e-04
9.100000e-08,-2.666667e-04
9.150000e-08,-1.046667e-03
9.200000e-08,2.866667e-04
9.250000e-08,-1.153333e-03
9.300000e-08,-2.666667e-04
9.350000e-08,-4.666667e-05
9.400000e-08,-8.200000e-04
9.450000e-08,6.000000e-05
9.500000e-08,2.866667e-04
9.550000e-08,-4.933333e-04
9.600000e-08,2.866667e-04
9.650000e-08,-4.666667e-05
9.700000e-08,3.933333e-04
9.750000e-08,1.720000e-03
9.800000e-08,7.266667e-04
9.850000e-08,-2.666667e-04
9.900000e-08,7.266667e-04
9.950000e-08,-4.933333e-04
1.000000e-07,8.400000e-04
1.005000e-07,-9.333334e-04
1.010000e-07,-7.133333e-04
1.015000e-07,-4.666667e-05
1.020000e-07,-4.933333e-04
1.025000e-07,-4.933333e-04
1.030000e-07,1.733333e-04
1.035000e-07,6.000000e-05
1.040000e-07,1.166667e-03
1.045000e-07,-6.000000e-04
1.050000e-07,-4.933333e-04
1.055000e-07,1.280000e-03
1.060000e-07,-4.666667e-05
1.065000e-07,-2.666667e-04
1.070000e-07,-7.133333e-04
1.075000e-07,-4.933333e-04
1.080000e-07,-6.000000e-04
1.085000e-07,-6.000000e-04
1.090000e-07,2.866667e-04
1.095000e-07,5.066667e-04
1.100000e-07,-7.133333e-04
1.105000e-07,-2.666667e-04
1.110000e-07,2.866667e-04
1.115000e-07,1.733333e-04
1.120000e-07,8.400000e-04
1.125000e-07,-8.200000e-04
1.130000e-07,5.066667e-04
1.135000e-07,1.060000e-03
1.140000e-07,1.733333e-04
1.145000e-07,1.733333e-04
1.150000e-07,6.000000e-05
1.155000e-07,1.613333e-03
1.160000e-07,-4.933333e-04
1.165000e-07,-8.200000e-04
1.170000e-07,-1.600000e-04
1.175000e-07,-2.666667e-04
1.180000e-07,6.133333e-04
1.185000e-07,-1.486667e-03
1.190000e-07,-4.666667e-05
1.195000e-07,-8.200000e-04
1.200000e-07,-7.133333e-04
1.205000e-07,-1.153333e-03
1.210000e-07,-8.200000e-04
1.215000e-07,2.053333e-03
1.220000e-07,7.266667e-04
1.225000e-07,-2.666667e-04
1.230000e-07,7.266667e-04
1.235000e-07,2.866667e-04
1.240000e-07,9.466666e-04
1.245000e-07,-3.800000e-04
1.250000e-07,3.933333e-04
1.255000e-07,7.266667e-04
1.260000e-07,2.866667e-04
1.265000e-07,-6.000000e-04
1.270000e-07,1.733333e-04
1.275000e-07,-4.933333e-04
1.280000e-07,5.066667e-04
1.285000e-07,-3.800000e-04
1.290000e-07,6.000000e-05
1.295000e-07,9.466666e-04
1.300000e-07,6.000000e-05
1.305000e-07,2.866667e-04
