Time(s),CH1V,CH2V,CH3V,CH4V
-3.390000e-07,1.226667e-04,2.906667e-04,-2.800000e-04,-4.533333e-04
-3.380000e-07,4.626667e-04,2.480000e-04,-1.893333e-04,-1.260000e-03
-3.370000e-07,4.513333e-04,3.760000e-04,-3.826667e-04,1.153333e-03
-3.360000e-07,5.646666e-04,1.144000e-03,-2.460000e-04,2.653333e-03
-3.350000e-07,4.400000e-04,4.186667e-04,1.173333e-04,3.466667e-04
-3.340000e-07,1.453333e-04,3.333333e-04,4.926667e-04,3.466667e-04
-3.330000e-07,-8.133333e-05,7.173333e-04,2.313333e-04,1.153333e-03
-3.320000e-07,-1.606667e-04,6.320000e-04,1.400000e-04,1.960000e-03
-3.310000e-07,-1.153333e-04,6.320000e-04,4.000000e-06,-9.200000e-04
-3.300000e-07,1.226667e-04,4.186667e-04,6.066667e-05,-3.400000e-04
-3.290000e-07,2.926667e-04,6.746667e-04,-1.866667e-05,1.273333e-03
-3.280000e-07,6.553333e-04,8.240000e-04,-1.100000e-04,1.200000e-04
-3.270000e-07,4.740000e-04,4.613333e-04,8.333333e-05,6.666667e-06
-3.260000e-07,4.513333e-04,1.840000e-04,1.973333e-04,-3.400000e-04
-3.250000e-07,1.566667e-04,7.386667e-04,9.466667e-05,1.500000e-03
-3.240000e-07,4.333333e-05,9.520000e-04,2.313333e-04,1.620000e-03
-3.230000e-07,-5.866666e-05,-8.000000e-06,1.973333e-04,6.933333e-04
-3.220000e-07,-2.400000e-04,3.546667e-04,1.973333e-04,2.333333e-04
-3.210000e-07,3.200000e-05,7.173333e-04,-2.460000e-04,1.273333e-03
-3.200000e-07,3.153333e-04,5.893334e-04,-6.466667e-05,1.153333e-03
-3.190000e-07,4.060000e-04,2.906667e-04,-2.686667e-04,-5.733334e-04
-3.180000e-07,5.193333e-04,5.040000e-04,-1.893333e-04,-6.866666e-04
-3.170000e-07,5.873333e-04,5.253333e-04,6.066667e-05,1.733333e-03
-3.160000e-07,3.380000e-04,1.144000e-03,2.540000e-04,2.080000e-03
-3.150000e-07,-1.040000e-04,3.333333e-04,2.880000e-04,4.666667e-04
-3.140000e-07,-1.833333e-04,7.813333e-04,4.126667e-04,6.666667e-06
-3.130000e-07,-7.000000e-05,4.400000e-04,9.466667e-05,1.620000e-03
-3.120000e-07,-1.266667e-04,3.973333e-04,9.466667e-05,1.386667e-03
-3.110000e-07,1.340000e-04,4.186667e-04,-2.120000e-04,8.133333e-04
-3.100000e-07,4.060000e-04,3.760000e-04,-8.733333e-05,-9.200000e-04
-3.090000e-07,3.946667e-04,3.120000e-04,-1.893333e-04,1.153333e-03
-3.080000e-07,6.326667e-04,3.466667e-05,-1.440000e-04,1.386667e-03
-3.070000e-07,4.173333e-04,9.866666e-05,1.400000e-04,6.666667e-06
-3.060000e-07,-1.606667e-04,3.333333e-04,3.560000e-04,8.133333e-04
-3.050000e-07,-1.333333e-05,8.666667e-04,2.086667e-04,1.960000e-03
-3.040000e-07,-1.946667e-04,9.093334e-04,2.880000e-04,1.386667e-03
-3.030000e-07,-2.853333e-04,6.746667e-04,3.800000e-05,1.200000e-04
-3.020000e-07,-4.733333e-05,4.826667e-04,6.066667e-05,-1.133333e-04
-3.010000e-07,4.966666e-04,6.746667e-04,-1.213333e-04,1.733333e-03
-3.000000e-07,7.346667e-04,8.880000e-04,-2.573333e-04,1.273333e-03
-2.990000e-07,5.760000e-04,3.466667e-05,-2.686667e-04,2.333333e-04
-2.980000e-07,2.700000e-04,1.200000e-04,1.860000e-04,3.466667e-04
-2.970000e-07,3.493333e-04,5.893334e-04,9.466667e-05,1.620000e-03
-2.960000e-07,-1.833333e-04,9.306667e-04,3.106667e-04,1.846667e-03
-2.950000e-07,-3.533333e-04,1.200000e-04,4.360000e-04,4.666667e-04
-2.940000e-07,-3.080000e-04,5.253333e-04,2.540000e-04,1.200000e-04
-2.930000e-07,-7.000000e-05,6.960000e-04,3.800000e-05,1.273333e-03
-2.920000e-07,1.000000e-04,5.893334e-04,-2.006667e-04,1.386667e-03
-2.910000e-07,5.533333e-04,5.680000e-04,-3.033333e-04,-1.133333e-04
-2.900000e-07,6.553333e-04,-5.066667e-05,-1.440000e-04,6.666667e-06
-2.890000e-07,4.060000e-04,6.106666e-04,-2.006667e-04,2.080000e-03
-2.880000e-07,2.586667e-04,8.880000e-04,4.933333e-05,2.080000e-03
-2.870000e-07,-4.733333e-05,3.333333e-04,2.653333e-04,1.273333e-03
-2.860000e-07,-3.873333e-04,4.613333e-04,4.700000e-04,-1.133333e-04
-2.850000e-07,-1.606667e-04,7.386667e-04,1.513333e-04,1.960000e-03
-2.840000e-07,2.066667e-05,5.466667e-04,1.513333e-04,1.620000e-03
-2.830000e-07,5.466667e-05,7.386667e-04,-1.100000e-04,2.333333e-04
-2.820000e-07,4.060000e-04,6.320000e-04,-1.866667e-05,2.333333e-04
